^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS2207
!dataset_title = Salicylic acid effect on leaves
!dataset_description = Analysis of leaves 2 hours after treatment with salicylic acid (SA) which induces systemic acquired resistance (SAR). SA-induced genes examined for the presence of neighboring putative binding sites for the transcription factor TGA2. Results provide insight into role of TGA factors in triggering SAR
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 16824183
!dataset_platform = GPL198
!dataset_platform_organism = Arabidopsis thaliana
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 22810
!dataset_sample_organism = Arabidopsis thaliana
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = transformed count
!dataset_reference_series = GSE3984
!dataset_order = none
!dataset_update_date = Mar 23 2007
^SUBSET = GDS2207_1
!subset_dataset_id = GDS2207
!subset_description = control
!subset_sample_id = GSM90867,GSM90868,GSM90869
!subset_type = agent
^SUBSET = GDS2207_2
!subset_dataset_id = GDS2207
!subset_description = salicylic acid
!subset_sample_id = GSM90870,GSM90871,GSM90872
!subset_type = agent
^DATASET = GDS2207
!ID_REF = Platform reference identifier
!IDENTIFIER = identifier
!GSM90867 = Value for GSM90867: 2-hour mock-treated leaf material biological replicate 1; src: leaf tissue of 3-4 week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90868 = Value for GSM90868: 2-hour mock-treated leaf material biological replicate 2; src: leaf tissue of 3-4 week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90869 = Value for GSM90869: 2-hour mock-treated leaf material biological replicate 3; src: leaf tissue of 3- to 4-week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90870 = Value for GSM90870: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 1; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% Silwet 2 hours before harvest
!GSM90871 = Value for GSM90871: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 2; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% Silwet 2 hours before harvest
!GSM90872 = Value for GSM90872: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 3; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% 
ID_REF	IDENTIFIER	GSM90867	GSM90868	GSM90869	GSM90870	GSM90871	GSM90872
244985_at	rpl22	9.98607	11.4738	11.4315	10.0505	11.7143	11.5901
244986_at	rps19	10.8649	12.0096	11.6622	10.9219	12.0163	11.8677
244987_s_at	rpl2	12.7627	13.2759	13.2403	12.6838	13.3159	13.1911
244988_s_at	rpl23	11.8056	12.8074	12.6643	11.6343	12.709	12.8081
244989_s_at	ycf2	4.8956	5.13539	5.20344	5.11516	5.17467	5.08986
244990_s_at	orf77.1	3.4241	3.52762	3.57813	3.6933	3.58664	3.7875
244991_s_at	ndhB	5.79019	5.29538	5.88399	6.00512	5.8646	6.10541
244992_s_at	rps7	11.554	12.1154	12.2295	11.6176	11.8902	12.1695
244993_s_at	ycf1	6.79506	10.3243	10.8382	6.6501	10.8482	10.945
244994_at	ndhF	3.80457	3.70022	3.86819	3.72548	3.67408	3.78865
244995_at	atpI	4.31256	7.89032	7.73067	4.68638	7.38016	8.00675
244996_at	rps2	8.944	9.71645	9.95827	9.03142	9.68574	10.175
244997_at	rpoC2	6.35522	8.27268	8.27273	6.60706	8.24822	8.87405
244998_at	rpoC1	7.4063	10.0712	10.192	7.14474	9.74457	10.5066
244999_at	rpoB	4.19912	4.67999	4.8664	4.37173	4.5915	5.18611
245000_at	petN	7.4	8.12064	8.08456	7.38675	8.15783	8.4642
245001_at	psbM	12.728	13.3039	12.9559	12.7733	13.2322	13.0642
245002_at	psbD	7.15642	11.6508	11.7287	7.31285	11.5192	12.1639
245003_at	psbC	10.8943	12.7321	12.6919	11.1382	12.7384	12.9152
245004_at	psbZ	11.8299	12.0987	11.9216	11.8011	12.1645	12.1807
245005_at	rps14	5.39685	5.46865	5.48487	5.5824	5.5497	5.54693
245006_at	psaB	11.8588	13.6304	13.541	11.7952	13.6511	13.4927
245007_at	psaA	6.55017	12.6297	12.7605	6.71336	12.404	12.5607
245008_at	ycf3	6.28965	8.19085	8.767	6.15405	8.15933	9.0393
245009_at	rps4	9.48034	11.5799	12.0365	9.37411	11.5572	11.8369
245010_at	ndhJ	8.15442	8.36278	8.67863	8.17727	8.20301	9.06849
245011_at	ndhK	7.6972	8.14561	8.43769	7.76761	7.84695	8.83784
245012_at	ndhC	12.0208	12.1863	11.7848	12.0226	12.0855	11.8376
245013_at	atpE	13.4509	13.9678	13.8588	13.5459	13.8873	13.6719
245014_at	atpB	13.2102	13.8881	13.8562	13.4121	13.8678	13.673
245015_at	rbcL	6.65657	9.23139	9.23516	6.50059	9.38966	9.66871
245016_at	accD	5.80083	9.48626	9.80249	5.93818	9.07627	9.99388
245017_at	psaI	8.74126	11.387	11.5777	8.90211	11.1928	11.5657
245018_at	ycf4	7.02605	11.8022	12.0573	7.05082	11.5309	12.0225
245019_at	cemA	8.8564	12.2427	12.1133	8.54419	12.057	12.0796
245020_at	petA	11.8144	12.695	12.54	11.5745	12.7402	12.6084
245021_at	psbJ	10.124	11.9764	11.62	10.109	11.8425	11.6908
245022_at	psbL	8.81173	10.7849	10.5442	8.85705	10.7725	10.6239
245023_at	psbI	12.3166	12.6911	12.4031	12.2906	12.6757	12.416
245024_at	atpA	8.94877	11.4022	11.6612	8.98665	11.2223	11.6446
245025_at	atpF	8.0366	9.59426	9.53623	8.15726	9.54341	10.1765
245026_at	atpH	7.25691	11.1005	11.7207	6.98945	11.1301	11.6342
245027_at	HO2	8.40811	8.62335	8.82151	8.69957	8.99697	9.1985
245028_at	AT2G26570	7.96887	7.82961	7.6014	8.3155	7.54649	7.41346
245029_at	YAB5	8.64518	8.41063	8.04729	7.64033	7.44525	7.44792
245030_at	AT2G26620	3.87184	3.74383	3.73967	3.93004	3.71795	3.56275
245031_at	AT2G26360	6.54476	7.11306	6.60036	6.93974	6.80883	6.68391
245032_at	AT2G26630	4.12956	4.14929	4.15967	4.18443	4.09875	4.36475
245033_at	AT2G26380	4.78589	4.76881	4.93295	4.97597	4.74839	5.04999
245034_at	AT2G26390	5.92583	5.74211	6.05158	6.86232	6.28737	6.6881
245035_at	ARD3	8.78081	7.33941	7.53984	11.8008	12.1445	12.0511
245036_at	Iqd4	3.67128	3.79002	3.79676	3.73568	3.67063	3.67945
245037_at	PIP5K3	4.56645	4.54734	4.59909	4.38265	4.51771	4.48117
245038_at	PLA2A	12.4591	11.7095	11.9633	13.2297	12.2237	12.8181
245039_at	AT2G26600	9.61342	9.45437	9.19653	10.0479	9.81054	9.57782
245040_at	AT2G26520	6.79345	6.8148	7.54032	6.83006	7.11007	7.24697
245041_at	AR781	10.7385	10.5725	10.7455	10.9984	10.3803	10.9491
245042_at	HEMD	8.72599	8.75485	9.22376	8.84754	8.67872	8.89259
245043_at	RCY1	9.22298	8.78083	8.60397	9.21895	8.44272	8.40595
245044_at	AT2G26500	13.3231	13.2587	13.2492	13.198	13.0662	13.0387
245045_at	RPN13	10.1285	9.83229	9.60575	10.0813	9.75855	9.83633
245046_at	PDE135	9.96966	9.97875	9.85207	10.2971	9.90154	9.98176
245047_at	psbA	9.23745	10.8684	10.8134	9.30442	10.6892	11.0746
245048_at	matK	7.39919	10.842	10.7769	7.10264	10.8644	11.0024
245049_at	rps16	4.95945	7.14008	7.1295	5.42529	7.36757	7.7435
245050_at	psbK	11.1518	13.3484	13.2395	11.1076	13.3018	13.0654
245051_at	WRKY15	9.70816	9.56929	9.81696	10.499	10.0919	10.7958
245052_at	AT2G26440	11.3789	10.7547	10.6622	12.268	12.08	11.7229
245053_at	AT2G26450	5.6154	5.66461	5.61682	5.77573	5.54366	5.59742
245054_at	SMU2	7.70643	7.60901	7.39329	7.46705	7.42961	6.97146
245055_at	AT2G26470	7.30582	6.32865	6.21319	7.27779	6.32081	6.38447
245056_at	UGT76D1	5.27685	5.1904	5.49061	5.55221	5.67085	5.19698
245057_at	AT2G26490	4.82652	4.76284	4.80296	4.79998	4.81798	4.78001
245058_at	AT2G39790	4.7025	4.56634	4.6259	4.71156	4.72712	4.66077
245059_at	RHC2A	9.2835	9.94928	9.47773	9.45413	9.8584	9.77963
245060_at	CYT1	11.2156	12.2372	12.0059	11.0478	12.3448	11.826
245061_at	RCA	13.8605	14.1142	13.9972	13.9766	14.0983	13.9103
245062_at	BPM3	9.46709	9.15977	9.30427	9.51795	9.21569	9.31807
245063_at	AT2G39795	8.64406	7.98042	7.77201	7.89381	7.54821	7.66333
245064_at	AT2G39725	7.5109	7.16314	6.82316	7.43879	7.05744	6.56748
245065_at	AT2G39750	9.62041	9.38274	9.33261	9.33674	8.86856	8.93774
245066_at	TOPP4	8.74323	9.47212	9.31427	9.14191	9.65276	9.67039
245067_at	RNS2	11.168	11.0847	10.9171	11.3653	11.1922	10.7641
245068_at	UGT84B1	4.86324	5.02171	4.61585	5.02568	5.05546	4.92747
245069_at	UGT84B2	3.94521	4.371	4.20434	4.1852	4.19802	4.08821
245070_at	AT2G23240	5.04467	5.30202	5.25821	5.39111	5.30089	5.19314
245071_at	AT2G23230	4.84253	5.02613	5.09363	4.75567	4.84069	5.15567
245072_s_at	CYP81D6	4.80466	4.72217	4.68796	4.78061	4.80826	4.67969
245073_at	AT2G23210	4.33628	4.40072	4.37718	4.30814	4.28567	4.49182
245074_at	AT2G23200	9.62787	9.12082	8.50379	10.4202	9.84659	9.37874
245075_at	CYP96A1	6.67921	6.99643	6.50434	7.03313	6.6638	6.54869
245076_at	GH3.3	8.96932	8.01336	9.59294	11.1282	9.88517	11.3741
245077_at	AT2G23160	6.60496	6.75087	6.82198	6.79631	6.71099	6.73431
245078_at	DEAR3	8.37901	8.9043	8.07767	7.77961	8.89072	8.57781
245079_at	AT2G23330	7.77691	7.24531	7.27459	8.28623	7.36557	7.97872
245080_at	AT2G23300	5.86415	5.29923	5.91016	5.94322	5.73447	6.34672
245081_at	At2g23280	6.89263	6.32619	6.79706	7.32006	6.46198	6.60193
245082_at	AT2G23270	6.87365	7.24376	7.43551	7.31891	7.25323	7.48657
245083_at	ATRER1C1	9.30793	9.57405	9.75191	9.18223	9.35671	9.71178
245084_at	MYB70	6.99338	6.92271	7.17259	7.27441	7.17176	7.21102
245085_at	PAB4	9.01708	9.44594	10.0921	9.09364	9.78787	10.2178
245086_at	AT2G39820	4.82328	5.18891	4.63736	4.93783	4.94074	4.66043
245087_at	DAR2	7.05714	6.67055	7.23894	7.00199	7.29322	7.06565
245088_at	AT2G39850	9.62273	9.57978	8.66851	9.61403	9.32868	8.37424
245089_at	AT2G45290	6.94328	6.79338	6.70363	6.34888	6.72463	6.4622
245090_at	AT2G40900	8.17986	8.51775	8.16149	8.01119	8.6259	7.9964
245091_at	AT2G40910	4.98934	5.34825	5.21373	5.25822	5.16789	5.3462
245092_at	BZIP17	9.10848	8.66909	8.75815	9.35299	9.07367	9.08318
245093_at	AT2G40815	7.03012	7.112	7.31671	6.58755	6.81662	6.95121
245094_at	DPE2	11.3906	11.0212	10.4677	11.0777	10.074	9.84397
245095_at	AT2G40860	5.56412	5.80398	5.84418	5.49942	5.75344	5.88358
245096_at	CYSA	11.8403	11.9608	11.0203	11.3981	11.2505	10.6063
245097_at	AT2G40935	8.46115	8.70044	8.63424	8.4997	8.28772	8.38942
245098_at	ERS1	9.99629	9.71861	9.73341	10.6555	10.1641	9.96061
245099_at	RHC1A	9.48187	9.43848	9.28892	10.1268	10.1709	9.5777
245100_at	UBP5	8.13237	7.95229	7.81192	8.30355	7.66343	7.72701
245101_at	CYP98A3	9.46794	9.64472	9.89238	9.16196	9.78895	9.49671
245102_at	AT2G41580	3.86887	3.92723	3.89749	3.84326	4.10949	3.99
245103_at	AT2G41590	5.64461	5.59077	5.30386	5.88592	5.20258	5.3798
245104_at	AT2G41600	8.39194	8.36883	8.56509	8.27998	8.23205	8.50819
245105_at	AT2G41610	6.71798	7.05429	6.50578	6.65381	6.68304	6.69474
245106_at	AT2G41650	7.33249	7.26608	7.49848	6.99151	7.64913	7.46298
245107_at	HSFB3	4.86387	4.98191	4.91226	4.93535	5.09498	4.89733
245108_at	CKX1	6.73086	6.77102	6.431	6.45035	6.16379	5.99369
245109_at	AT2G41520	7.832	7.28496	7.75987	7.75006	7.37974	7.70006
245110_at	AT2G41550	4.59061	4.94708	5.22165	4.81023	4.80083	5.00679
245111_at	AT2G41570	4.26372	4.24791	4.3309	4.36006	4.38196	4.28589
245112_at	GPDHC1	7.23739	7.54533	8.36187	7.11679	7.93577	8.31557
245113_at	MIZ1	5.79901	5.95778	6.04153	5.94344	6.23299	6.43505
245114_at	TFIIB	9.15988	9.01414	8.85981	9.07133	9.09112	9.37297
245115_at	SFGH	10.8404	10.6469	10.7768	11.0548	10.9087	10.4763
245116_at	AT2G41620	8.50811	8.34142	8.70201	8.43019	8.30507	8.3286
245117_at	ACA4	9.64084	9.50764	9.80329	9.1892	8.60471	9.50475
245118_at	NTRC	9.87926	9.72236	9.73551	9.94179	9.80414	10.05
245119_at	AT2G41640	7.77927	7.38129	7.47293	8.36259	6.96634	8.76491
245120_at	HOS1	7.83787	7.48256	7.7769	7.86539	7.76934	7.57456
245121_at	AT2G47610	10.9132	11.0474	11.6804	10.587	11.4304	11.8135
245122_at	AT2G47420	8.34996	7.98884	8.22772	8.01503	7.92204	8.41189
245123_at	CAO	10.9408	11.7751	11.5878	10.4718	11.1128	11.2151
245124_at	U1A	9.81833	9.55855	9.7521	9.48722	9.38682	9.56982
245125_at	CKI1	4.19027	4.52228	4.39294	4.42051	4.35291	4.41535
245126_at	MYB12	5.2611	5.48648	5.64151	5.31567	5.89179	5.44551
245127_at	MHX	9.65605	9.66923	9.68858	9.48723	9.51277	9.11832
245128_at	AT2G45380	3.73827	3.81429	3.79435	3.74258	3.74852	3.81883
245129_at	CRR4	5.04603	5.08076	5.32673	5.61892	5.346	5.29189
245130_at	AT2G45340	7.02782	7.8859	8.07292	6.24828	7.18876	6.9502
245131_s_at	AT5G23600	8.22676	8.13728	7.87395	8.66726	8.21448	7.89312
245132_at	AT2G45320	8.0006	8.00263	7.98712	7.96031	8.07639	7.94285
245133_at	GAE4	5.77341	6.17752	5.74172	5.37195	5.73347	5.44896
245134_s_at	AT4G38280	7.99416	7.87267	7.81868	7.66033	7.18825	7.49792
245135_at	AT2G45230	5.20013	4.93832	5.16819	5.19765	4.97089	5.17538
245136_at	AT2G45210	6.92181	7.66293	7.3639	7.94241	8.56997	7.874
245137_at	AT2G45460	6.92019	6.82051	6.74121	6.3724	6.46246	6.53568
245138_at	AFO	8.05473	8.73988	9.09593	7.43149	7.94052	8.51576
245139_at	AHL22	5.81117	5.73952	5.84324	5.707	5.82669	5.73908
245140_at	LBD18	4.66533	4.74241	4.80811	4.89567	4.84272	4.86046
245141_at	BEN1	7.1059	7.22843	7.01838	6.6501	6.97129	7.10376
245142_at	GCP1	8.7588	8.39774	8.69638	8.80569	8.40531	8.82928
245143_at	ZPR1	6.8278	7.1499	7.44881	6.73256	7.08399	7.13644
245144_at	MAP1A	9.06573	8.77337	9.04098	9.12303	8.8723	9.09823
245145_at	DHDPS2	8.31245	8.28461	8.56915	8.0366	8.47966	8.91973
245146_at	GOS12	9.15362	8.85387	9.16826	8.71985	8.80432	8.89786
245147_at	RAD51C	7.52886	7.11605	7.25984	7.26326	6.9041	7.16014
245148_at	AT2G45220	7.44256	6.8167	7.56519	7.67535	7.74066	7.82229
245149_at	SWI3A	6.58435	6.19496	6.13935	6.21774	6.15103	6.35122
245150_at	PHR2	9.72452	9.82221	10.1271	9.5605	9.95294	9.80118
245151_at	AT2G47550	4.72908	4.49845	4.58316	4.38265	4.09441	4.59246
245152_at	NDT1	10.0776	10.2322	10.1199	10.4267	10.7988	10.6828
245153_at	AT5G12450	3.23595	3.25342	3.34356	3.35533	3.3149	3.2322
245154_at	AT5G12460	4.97246	4.87862	5.00611	5.26862	4.98991	5.01328
245155_at	AT5G12470	11.5959	11.0674	10.9376	11.6531	11.3204	10.8338
245156_at	CPK7	8.34362	7.50107	7.2523	9.14929	8.29255	7.99845
245157_at	AT2G33160	4.07675	3.97548	4.14259	4.10559	4.04459	4.03573
245158_at	RALFL18	4.67901	4.75905	4.70789	4.80506	4.85074	4.74817
245159_at	CSLD1	4.64356	4.87349	5.04415	4.94494	4.90845	5.2673
245160_at	RLP28	5.12038	4.54625	4.6704	5.02202	4.4686	4.65948
245161_at	NSP2	5.88153	6.27401	6.13042	6.21596	6.59268	6.38454
245162_at	XID	5.62617	5.38015	5.53979	5.7493	5.35118	5.43708
245163_at	YUC7	4.79945	4.84323	4.72431	4.86318	5.02396	4.76855
245164_at	HSP60-2	9.76437	9.28816	9.89171	9.17302	9.74948	9.79149
245165_at	AT2G33180	9.00434	9.15203	9.43764	8.95465	9.29249	9.64881
245166_at	AT2G33170	8.15471	8.06017	7.85525	8.72292	8.35182	8.2779
245167_s_at	SAR1	10.5928	10.4514	10.0467	10.7318	10.6592	10.5026
245168_at	PKT3	11.8961	12.1504	11.917	12.1162	11.6869	11.4719
245169_at	AT2G33220	10.3805	10.4012	10.1421	10.1133	10.3468	10.0404
245170_at	AT2G47570	5.86029	5.94318	6.05317	6.07721	5.91928	5.91085
245171_at	AT2G47560	6.56043	6.57759	6.97504	6.42324	6.66336	6.78485
245172_at	AT2G47540	6.03712	6.07709	6.19147	6.08882	6.0793	6.39463
245173_at	HRE2	4.87155	5.5183	5.63194	4.95163	5.46992	5.73178
245174_at	AT2G47500	6.1173	6.43405	6.65866	6.16207	6.96126	6.14604
245175_at	UNE5	11.1104	10.5648	10.8441	10.5788	10.625	10.2321
245176_at	AT2G47440	8.55334	9.73217	9.60269	7.75547	9.16343	8.71667
245177_at	ANNAT8	5.38206	5.33754	5.36822	5.71919	5.47966	5.38403
245178_at	FIS1B	9.96611	9.52354	9.36664	10.2024	9.75544	9.69047
245179_at	AT5G12400	8.17595	7.9678	7.91653	8.45967	8.18251	8.36811
245180_at	AT5G12410	8.92358	8.72942	8.69018	8.62812	8.49525	8.62033
